image_path,primary_tag,secondary_tags,family,expected_should_pass,notes
benchmark_dataset/basketball/Basketball_Court.jpg,Basketball,,Athletics,1,
benchmark_dataset/basketball/Basketball_Game.jpg,Basketball,,Athletics,1,
benchmark_dataset/basketball/Basketball_Game2.jpg,Basketball,,Athletics,1,
benchmark_dataset/basketball/Basketball_Hoop.jpg,Basketball,,Athletics,1,
benchmark_dataset/basketball/Basketball_NBA.jpg,Basketball,,Athletics,1,
benchmark_dataset/basketball/Basketball_StreetCourt.jpg,Basketball,,Athletics,1,
benchmark_dataset/cardio/Cardio_Home.jpg,Cardio,,Athletics,1,
benchmark_dataset/chess/Chess_POV.jpg,Chess,,Smarts,1,
benchmark_dataset/chess/Chess_board.jpg,Chess,,Smarts,1,
benchmark_dataset/chess/Chess_in_the_park.jpg,Chess,,Smarts,1,
benchmark_dataset/chess/Chess_in_the_park2.jpg,Chess,,Smarts,1,
benchmark_dataset/drawing/Drawing_POV.jpg,Drawing,,Creativity,1,
benchmark_dataset/drawing/Drawing_POV2.jpg,Drawing,,Creativity,1,
benchmark_dataset/drawing/Drawing_Sketch_Draft_Ambiguous.jpg,Drawing,,Creativity,1,
benchmark_dataset/drawing/Drawing_Sketch_Draft_Ambiguous2.jpg,Drawing,,Creativity,1,
benchmark_dataset/drawing/Drawing_Sketch_POV.jpg,Drawing,,Creativity,1,
benchmark_dataset/family/Family_Restauraunt_POV.jpg,Family,,Sociability,1,
benchmark_dataset/friends/Friends_Beach.jpg,Friends,,Sociability,1,
benchmark_dataset/friends/Friends_Camping.jpg,Friends,,Sociability,1,
benchmark_dataset/friends/Friends_Hangout1.jpg,Friends,,Sociability,1,
benchmark_dataset/friends/Friends_Shopping.jpg,Friends,,Sociability,1,
benchmark_dataset/hiking/Hiking_POV1.jpg,Hiking,,Athletics,1,
benchmark_dataset/hiking/Hiking_Trail_Ambiguous.jpg,Hiking,,Athletics,1,
benchmark_dataset/music/Music_Holding_Guitar_Ambiguous.jpg,Music,,Creativity,1,
benchmark_dataset/music/Music_Orchestra_POV.jpg,Music,,Creativity,1,
benchmark_dataset/music/Music_Orchestra_POV2.jpg,Music,,Creativity,1,
benchmark_dataset/music/Music_Studio_POV.jpg,Music,,Creativity,1,
benchmark_dataset/music/Music_Studio_POV2.jpg,Music,,Creativity,1,
benchmark_dataset/nature/Nature_Mountain.jpg,Nature,,Vibes,1,
benchmark_dataset/nature/Nature_Turtles.jpg,Nature,,Vibes,1,
benchmark_dataset/painting/Painting_Artist.jpg,Painting,,Creativity,1,
benchmark_dataset/painting/Painting_Final_Draft_Ambiguous.jpg,Painting,,Creativity,1,
benchmark_dataset/painting/Painting_easel.jpg,Painting,,Creativity,1,
benchmark_dataset/photography/Photography_Boba_Shop_Ambiguous.jpg,Photography,,Creativity,1,
benchmark_dataset/photography/Photography_Nature_Ambiguous.jpg,Photography,,Creativity,1,
benchmark_dataset/photography/Photography_Nature_Ambiguous2.jpg,Photography,,Creativity,1,
benchmark_dataset/reading/Reading_POV.jpg,Reading,,Smarts,1,
benchmark_dataset/reading/Reading_POV2.jpg,Reading,,Smarts,1,
benchmark_dataset/rock_climbing/Rock-Climbing_Gym.jpg,Rock Climbing,,Athletics,1,
benchmark_dataset/rock_climbing/Rock-Climbing_Nature.jpg,Rock Climbing,,Athletics,1,
benchmark_dataset/rock_climbing/Rock-Climbing_POV.jpg,Rock Climbing,,Athletics,1,
benchmark_dataset/rock_climbing/Rock-Climbing_RockWall.jpg,Rock Climbing,,Athletics,1,
benchmark_dataset/running/Running_Marathon.jpg,Running,,Athletics,1,
benchmark_dataset/running/Running_Marathon_Wide_Angle.jpg,Running,,Athletics,1,
benchmark_dataset/running/Running_Track.png,Running,,Athletics,1,
benchmark_dataset/study/Studying_Empty_Table.jpg,Study,,Smarts,1,
benchmark_dataset/study/Studying_Group.jpg,Study,,Smarts,1,
benchmark_dataset/study/Studying_Library.jpg,Study,,Smarts,1,
benchmark_dataset/study/Studying_Study_Room_Ambiguous.jpg,Study,,Smarts,1,
benchmark_dataset/travel/Travel_Akihabara_Ambiguous.jpg,Travel,,Vibes,1,
benchmark_dataset/travel/Travel_Osaka_Gilco.jpg,Travel,,Vibes,1,
benchmark_dataset/travel/Travel_Tokyo_Tower.jpg,Travel,,Vibes,1,
benchmark_dataset/workout/Workout_BenchPress.jpg,Workout,,Athletics,1,
benchmark_dataset/workout/Workout_Girl.jpg,Workout,,Athletics,1,
benchmark_dataset/workout/Workout_Influencer.jpg,Workout,,Athletics,1,
